COMP,,,,,,,,,,,,,,,,,,
i,Comp. i,zi,x_w_0,"M, g/mol",C_0,,,,,,,,,,,,,
1,H2O,0,1000,18.01528,,,,,,,,,,,,,,
2,CaOH(+),1,,57.08534,,,,,,,,,,,,,,
3,CaCl(+),1,,75.53100,,,,,,,,,,,,,,
4,CaCl2,0,,110.98400,,,,,,,,,,,,,,
5,HCl,0,21.87656,36.46094,,,,,,,,,,,,,,
6,CaCO3,0,,100.08690,,,,,,,,,,,,,,
7,CO2+H2O,0,,62.02478,,,,,,,,,,,,,,
8,HCO3(-),-1,,61.01684,,,,,,,,,,,,,,
9,CaHCO3(-),-1,,101.09484,,,,,,,,,,,,,,
11,CaCl2(s),0,,110.98400,,,,,,,,,,,,,,
10,Ca(OH)2(s),0,7.4092680,74.09268,,,,,,,,,,,,,,
12,CaCO3(s),0,10.008690,100.08690,,,,,,,,,,,,,,
13,H3O(+),1,,19.02322,,,,,,,,,,,,,,
14,OH(-),-1,,17.00734,,,,,,,,,,,,,,
15,Ca(2+),2,,40.07800,,,,,,,,,,,,,,
16,CO3(2-),-2,,15.03452,,,,,,,,,,,,,,
17,Cl(-),-1,,35.45300,,,,,,,,,,,,,,
REAC,,,,,,,,,,,,,,,,,,
j,pKaj,nu_ij (i=13),nu_ij (i=14),nu_ij (i=15),nu_ij (i=16),nu_ij (i=17),nu_ij (i=1),nu_ij (i=2),nu_ij (i=3),nu_ij (i=4),nu_ij (i=5),nu_ij (i=6),nu_ij (i=7),nu_ij (i=8),nu_ij (i=9),nu_ij (i=10),nu_ij (i=11),nu_ij (i=12)
1,+14.00,+1,+1,,,,-2,,,,,,,,,,,
2,+1.22,,+1,+1,,,,-1,,,,,,,,,,
3,-0.29,,,+1,,+1,,,-1,,,,,,,,,
4,-0.64,,,+1,,+2,,,,-1,,,,,,,,
5,-0.71,+1,,,,+1,-1,,,,-1,,,,,,,
6,+3.22,,,+1,+1,,,,,,,-1,,,,,,
7,+16.68,+2,,,+1,,-2,,,,,,-1,,,,,
8,+10.33,+1,,,+1,,-1,,,,,,,-1,,,,
9,+11.43,+1,,+1,+1,,-1,,,,,,,,-1,,,
10,+5.19,,+2,+1,,,,,,,,,,,,-1,,
11,-11.77,,,+1,,+2,,,,,,,,,,,-1,
12,+8.48,,+2,+1,,,,,,,,,,,,,,-1
